,aci_scale,Sulfur
CanESM5,-0.7336650009019504,0.025868756362037417
CNRM-CM6-1,-1.767360681685807,0.005325133810378331
E3SM-2-0,-1.7841828628566954,0.009849719486734984
GFDL-CM4,-11.283280045590846,0.0005476878367402938
GFDL-ESM4,-12745.03681783525,4.2162237237887515e-07
GISS-E2-1-G,-0.4366904701890888,0.02703037763670196
HadGEM3-GC31-LL,-1.1493545821054107,0.011658237285076206
IPSL-CM6A-LR,-1.1718719035073606,0.002992147456273158
MIROC6,-0.7981814421776123,0.01610020282905503
MPI-ESM-1-2-HAM,-2.737986338595965,0.005565048344599429
MRI-ESM2-0,-11.436922277788357,0.0006161262744201326
NorESM2-LM,-12.035011420796737,0.00088291039582235
UKESM1-0-LL,-0.7226355678786291,0.0334689795703481
